0.0024	93.86
0.0046	98.61
0.0068	103.05
0.0090	107.22
0.0112	111.16
0.0134	114.92
0.0156	118.53
0.0178	122.00
0.0200	125.37
0.0222	128.64
0.0244	131.84
0.0266	134.96
0.0288	138.03
0.0310	141.04
0.0332	144.00
0.0354	146.92
0.0376	149.79
0.0398	152.61
0.0420	155.39
0.0442	158.13
0.0464	160.82
0.0486	163.47
0.0508	166.07
0.0530	168.62
0.0552	171.13
0.0574	173.59
0.0596	176.00
0.0618	178.36
0.0640	180.68
0.0662	182.94
0.0684	185.16
0.0706	187.33
0.0728	189.46
0.0750	191.54
0.0772	193.59
0.0794	195.59
0.0816	197.55
0.0838	199.47
0.0860	201.36
0.0882	203.21
0.0904	205.03
0.0926	206.82
0.0948	208.58
0.0970	210.32
0.0992	212.03
0.1014	213.71
0.1036	215.37
0.1058	217.01
0.1080	218.62
0.1102	220.21
0.1124	221.78
0.1146	223.34
0.1168	224.87
0.1190	226.37
0.1212	227.86
0.1234	229.33
0.1256	230.77
0.1278	232.19
0.1300	233.59
0.1322	234.97
0.1344	236.32
0.1366	237.64
0.1388	238.94
0.1410	240.22
0.1432	241.46
0.1454	242.68
0.1476	243.88
0.1498	245.04
0.1520	246.19
0.1542	247.30
0.1564	248.39
0.1586	249.46
0.1608	250.51
0.1630	251.54
0.1652	252.55
0.1674	253.54
0.1696	254.52
0.1718	255.49
0.1740	256.45
0.1762	257.41
0.1784	258.37
0.1806	259.32
0.1828	260.28
0.1850	261.25
0.1872	262.23
0.1894	263.21
0.1916	264.21
0.1938	265.22
0.1960	266.24
0.1982	267.28
0.2004	268.32
0.2026	269.36
0.2048	270.40
0.2070	271.43
0.2092	272.43
0.2114	273.40
0.2136	274.32
0.2158	275.17
0.2180	275.93
0.2202	276.56
